First,Last,Email,Phone,Country,Zip,Date Activated,Deal Stage
Lauren,Kiefer,info@salesready.io,1242464037,United States,64187,16-Aug-96,planned
Barry,Wallace,mj@backlinkmanager.io,1242464038,,,17-Aug-96,planned
Susan,Kim,srose@petropartner.net,1242464039,United States,63121,18-Aug-96,new
Tim,Hackel,sales@levelupcrm.com,1242464040,Canada,L9S,19-Aug-96,cold
Kelly,McDonough,info@aillion.com,1242464041,United States,80150,20-Aug-96,cold
Lauren,Brooks,brian@fota.world,1242464042,United States,88541,21-Aug-96,lost
Jessica,Barnett,talia@secretdinnertime.com,1242464043,United States,78715,22-Aug-96,lost
Lauren,Moon,hello@ottomotive.ai,1242464044,United States,10105,23-Aug-96,planned
Anthony,Marnell,hello@meetmonty.co.uk,1242464045,United States,43210,24-Aug-96,cold
Desmond,Morris,hello@propopen.com,1242464046,United States,20036,25-Aug-96,meeting
Jeanne,Castillo,hello@growhold.com,1242464047,Canada,M9L,26-Aug-96,planned
Anna,Saraceno,hello@flash-lead.com,1242464048,United States,19610,27-Aug-96,planned
Becky,Sweger,bd@tradetab.io,1242464049,Canada,E3G,28-Aug-96,cold
,Dang,azri@muutos.me,1242464050,United States,37220,29-Aug-96,lost
Jason,Goldberg,enrick.pierredelabriere@optimumcircle.com,1242464051,United States,85743,30-Aug-96,planned
Sunil,Khedar,Fikeshway@bonsaimarkeingcompany.com,1242464052,Canada,T1P,31-Aug-96,cold
Francesco,Pacella,hey@propagate.at,1242464053,Canada,E4W,1-Sep-96,lost
Kevin,Hatfield,info@thecrown.ltd,1242464054,United States,75342,2-Sep-96,lost
Renee,Wong,info@start24.nl,1242464055,,,3-Sep-96,cold
Freddy Jose,Mangum,support@operwell.com,1242464056,United States,33448,4-Sep-96,new
Larson,Stair,contact@webbick.com,1242464057,United States,35895,5-Sep-96,cold
Jack,Collins,jim@vclient.com,1242464058,United States,28815,6-Sep-96,lost
Yoav,Vilner,info@misscrm.in,1242464059,United States,37205,7-Sep-96,new
Guy,Leshno,info@junina.de,1242464060,,,29-Dec-81,cold
Amit,Dugar,mattconsultingservice@gmail.com,1242464061,United States,24515,30-Dec-81,planned
Shyam,Hn,vlad92savchuk@gmail.com,1242464062,United States,20310,31-Dec-81,meeting
Pete,Ryan,info@crmdevelopmentcompany.com,1242464063,United States,33147,1-Jan-82,planned
Fabi,Hubschmid,info@newleafconsulting.io,1242464064,,,2-Jan-82,planned
Abhijeet,Vijayvergiya,hello@imaginacrm.com,1242464065,Canada,J1X,3-Jan-82,cold
Aravind,RS,info@exclusiveleadsagency.com,1242464066,Canada,T3S,4-Jan-82,planned
Kendrick,Bradley,jason@moxie.xyz,1242464067,Canada,M4C,5-Jan-82,cold
Shiv,Gettu,Sunil@moxie.xyz,1242464068,United States,20310,6-Jan-82,planned
James,Henderson,Francesco@moxie.xyz,1242464069,Canada,K7V,7-Jan-82,cold
Rahul,Pawar,Kevin@moxie.xyz,1242464070,,,8-Jan-82,cold
Roshan,Patil,Renee@moxie.xyz,1242464071,United States,33715,9-Jan-82,lost
Nilesh,Patil,info@hub.inc,1242464072,,,10-Jan-82,planned
Bahar,Yawazy,support@demoflow.io,1242464073,,,11-Jan-82,cold
Maor,Sadra,sales@demoflow.io,1242464074,United States,77806,12-Jan-82,new
Moti,Tal,Yoav@walnut.io,1242464075,Canada,V7P,13-Jan-82,cold
Logan,Murphy,Guy@walnut.io,1242464076,,,14-Jan-82,cold
Charles,Anderson,Shankar.Ganapathy@buyerassist.io,1242464077,United States,98148,15-Jan-82,cold
John,K,Amit.Dugar@buyerassist.io,1242464078,Canada,V7Y,16-Jan-82,cold
Patrick,Spielmann,Shyam.Hn@buyerassist.io,1242464079,United States,67210,,cold
Daniel,Klein,brendon@cosell.io,1242464080,,,,new
Kam,Leung,Pete@cosell.io,1242464081,Canada,G5N,,meeting
Alex,Reichert,Hany@markaaz.com,1242464082,Canada,J4B,,cold
Carolyn,Driscoll,Fabi@markaaz.com,1242464083,United States,49544,,cold
Chuck,Mosher,Abhijeet@nektar.ai,1242464084,United States,53726,,meeting
Jaroslav,Kacina,Aravind@nektar.ai,1242464085,Canada,P7L,,cold
Marian,R.,Kendrick.Bradley@residentboost.com,1242464086,,,,cold
Josh,Penfold,Shiv.Gettu@residentboost.com,1242464087,United States,72204,,new
Wen,Shaw,info@mindzie.com,1242464088,United States,37939,,meeting
Jocelin (Chieh),Ho,rahul.pawar@medisponsor.com,1242464089,United States,78405,25-Nov-71,planned
Rob,Tedesco,Roshan.Patil@medisponsor.com,1242464090,United States,43656,,lost
Imran,Deshmukh,Nilesh.Patil@medisponsor.com,1242464091,United States,70820,,planned
Josh,Caggiula,Bahar.Yawazy@medisponsor.com,1242464092,United States,48242,,lost
Chris,Guyer,maor@incrmntal.com,1242464093,Canada,A0A,27-Aug-77,cold
Erjon,Sula,moti@incrmntal.com,1242464094,,,18-May-83,cold
Tolga,Tezel,Logan@heyarrow.com,1242464095,United States,85732,19-Jun-92,meeting
Valentin,Feklistov,Charles@heyarrow.com,1242464096,Canada,M2N,12-Apr-88,lost
Alexander,Bitskov,John@data-lead.com,1242464097,United States,19151,8-May-91,meeting
Romain,Ginestou,Patrick@uptics.io,1242464098,United States,40510,,planned
David,Chevalier,Daniel@uptics.io,1242464099,Canada,P0M,,planned
Praneeth,Patlola,kam@papercups.io,1242464100,United States,77299,2-Feb-77,new
Matthew,Browning,Alex@papercups.io,1242464101,,,,new
Josh,Holfeltz,Carolyn@uncommongood.io,1242464102,United States,78703,,cold
Tigh,Loughhead,Chuck@uncommongood.io,1242464103,Canada,L1X,,planned
Ankit,Kumar,info@carlavia.com,1242464104,United States,66617,,cold
Catherine,Mannara,info@carlavia.com,1242464105,Canada,V1A,1-May-99,cold
Thomas,Randolph,info@goose.farm,1242464106,Canada,A8A,,lost
Julien,Winkel,Wen@cooby.co,1242464107,United States,20709,28-Oct-93,cold
Niek,Hermus,support@cooby.co,1242464108,United States,21747,21-Jun-83,meeting
Sami,,rtedesco@paroai.com,1242464109,Canada,E1W,,planned
Deboshree,Dutta,ideshmukh@paroai.com,1242464110,United States,92153,,lost
Phillip,Everhart,jcaggiula@paroai.com,1242464111,United States,38168,29-Jul-74,planned
Gauthier,Philippart,cguyer@paroai.com,1242464112,Canada,S0G,,lost
Adrian,Williams,info.njoftime.al@gmail.com,1242464113,United States,77288,2-Apr-70,cold
Matt,Wakefield,hello@usecanopy.com,1242464114,United States,35487,3-Apr-70,cold
Asad,Ali,ceo@legid.app,1242464115,United States,20067,4-Apr-70,meeting
Yahia,Battach,Alex@legid.app,1242464116,,,5-Apr-70,lost
Danial,Ehyaie,Romain.Ginestou@leadjet.io,1242464117,United States,92127,6-Apr-70,meeting
Fitim,Mehmeti,David.Chevalier@leadjet.io,1242464118,,,7-Apr-70,planned
Aris,Christoforou,ppatlola@willhire.co,1242464119,United States,41905,8-Apr-70,planned
Joel,Rodriguez,matt@omnicann.io,1242464120,Canada,G8A,,new
Lorenzo,Rossi,josh.holfeltz@gmail.com,1242464121,Canada,L9S,3-Feb-84,new
Luca,Mastrorocco,tigh@forcery.com,1242464122,United States,80920,1-Dec-80,cold
Jaideep,Kashikar,Kumar.Ankit@conspeer.in,1242464123,United States,46254,2-Dec-80,planned
Kuanwei (Kuan),Lee,mannara.catherine@conspeer.in,1242464124,United States,19892,3-Dec-80,cold
Michael,Barnett,support@myedens.com,1242464125,Canada,M4N,4-Dec-80,cold
Alexandre,Willot,Julien@aithena.ai,1242464126,United States,6912,5-Dec-80,lost
David,Concileo,Niek@aithena.ai,1242464127,United States,85260,26-Apr-79,cold
Umair,Siddiqui,info@lemon.ltd,1242464128,United States,78265,,cold
Birendra,Gosai,concierge@roomplays.com,1242464129,,,,cold
TRAVIS,Cattach,contact@actionaly.com,1242464130,Canada,H4R,,new
Maksym,Podsolonko,hello@repped.co.uk,1242464131,United States,27264,30-Nov-86,planned
Marie,Chan,matt@repped.co.uk,1242464132,Canada,L0P,1-Dec-86,planned
Scott,Fergusson,asad@agiled.app,1242464133,United States,48206,2-Dec-86,planned
Alex,Bass,info@boonus.app,1242464134,,,3-Dec-86,planned
NICOLÓ,CAPONE,Danial@assistalong.com,1242464135,United States,80241,4-Dec-86,lost
ANDREI,TOFAN,contact@timly.com,1242464136,Canada,M4C,5-Dec-86,planned
Kaito,Cunningham,info@nutriapptech.com,1242464137,United States,45440,6-Dec-86,meeting
Surender,Nadarajan,urgent@referin.com,1242464138,,,7-Dec-86,cold
Premsanth,Rajamani,Lorenzo@rplg.io,1242464139,Canada,L5W,,new
Vedran,Rasic,luca@rplg.io,1242464140,,,31-Jan-00,cold
Stefan,Avivson,mikeliou0524@gmail.com,1242464141,United States,64082,1-Feb-00,lost
Rasmus Brummer,Rasmussen,hello@bipath.io,1242464142,United States,28235,2-Feb-00,planned
Lars Kjær,Gantzhorn,contact@loopstr.ai,1242464143,United States,92835,3-Feb-00,cold
Salik,Khan,Beta@loopstr.ai,1242464144,Canada,J9L,4-Feb-00,meeting
Jimmy,Holt,birendra.gosai@gmail.com,1242464145,Canada,A1X,5-Feb-00,lost
Zachary,Rothstein,Support@seqwens.com,1242464146,,,6-Feb-00,planned
Wrenn,Smith,info@miyn.app,1242464147,Canada,T5C,7-Feb-00,planned
Michal,Jackowski,eazy@eazyplan.com,1242464148,,,8-Feb-00,cold
Shane,Rose,marie@houseofyards.com,1242464149,Canada,L2P,9-Feb-00,planned
Matthew,Moore,Scott@techf.com,1242464150,United States,98104,10-Feb-00,meeting
Brian,Wickham,Alex@efficient.app,1242464151,United States,2912,,cold
Theodora,Kostova,info@leadbi.co.za,1242464152,United States,49518,19-Nov-91,cold
Catherine,Hutchings,info@leadbi.co.za,1242464153,United States,46278,20-Nov-91,lost
Steve,Gatland,kaito@usespred.com,1242464154,United States,11247,21-Nov-91,meeting
Cody,Zazulak,sales@salesgear.io,1242464155,United States,95210,22-Nov-91,cold
Brian,Williams,sales@salesgear.io,1242464156,United States,75799,23-Nov-91,planned
Talia,Turgeman,ved@leaddelta.com,1242464157,United States,79165,24-Nov-91,lost
Pat,Otto,info@clinigro.com,1242464158,Canada,G6E,14-Mar-87,lost
Dale,Broadhead,stefan@bmoreraw.com,1242464159,United States,76205,,lost
PAT,CHEUNG,rasmus@bmoreraw.com,1242464160,United States,36205,,cold
Antti,Kauppinen,lars@bmoreraw.com,1242464161,Canada,P0T,,planned
Kristian,Tanninen,salik@bmoreraw.com,1242464162,United States,60567,27-Nov-83,cold
Jackson,Harry,info@salesready.io,1242464163,United States,29220,19-Feb-83,new
Deepika,Sharma,info@salesready.io,1242464164,Canada,B4V,28-Apr-82,new
Kashif,Ali,info@salesready.io,1242464165,Canada,H5B,21-Jun-82,cold
Sari,Vanska,mj@backlinkmanager.io,1242464166,Canada,V3B,,cold
M Azri,Mukthar,srose@petropartner.net,1242464167,United States,43635,,planned
Enrick Pierre,de la Brière,mmoore@petropartner.net,1242464168,Canada,L9Y,1-Feb-76,cold
Bryan,Fikes,brian@levelupcrm.com,1242464169,United States,46278,,cold
Kumar,Abhirup,theodora@levelupcrm.com,1242464170,United States,92878,30-Apr-71,planned
Selçuk,?entürk,cathy@levelupcrm.com,1242464171,Canada,V5A,,meeting
Joost,Boer,steve@levelupcrm.com,1242464172,,,,new
Dave,Newmuis,Cody@ailleon.com,1242464173,United States,20195,26-May-82,lost
Haneef,Hasan,brian@fota.world,1242464174,Canada,S0G,26-May-88,cold
James,Little,Talia@secretdinnertime.com,1242464175,Canada,H4R,,planned
Piyush,Nagar,hello@ottomotive.ai,1242464176,United States,28263,,new
Michael,Kuczera,hello@meetmonty.co.uk,1242464177,,,,planned
Philip,Behrend,pat@patcheung.com,1242464178,United States,43610,26-May-93,planned
Matt,Molen,etene@etene.net,1242464179,United States,28235,,cold
Lokesh Kumar,Xess,kristian.tanninen@lumoresearch.com,1242464180,,,,planned
Aditya,Mishra,Alaa@flash-lead.com,1242464181,Canada,K9V,17-Jul-97,new
Mahesh,Rangabhat,Jackson@flash-lead.com,1242464182,United States,46278,,cold
Ollie,Killean,kash@crmbase.io,1242464183,United States,73124,,meeting
Max,Sanchez,Sari@muutos.co.uk,1242464184,,,,cold
Juan Daniel,Sanchez Chavez,azri@muutos.me,1242464185,Canada,H9J,2-Jul-85,new
Jennifer,Rodriguez,enrick.pierredelabriere@optimumcircle.com,1242464186,Canada,V2X,,cold
Ivo,Anastácio,fikeshway@bonsaimarketingcompany.com,1242464187,United States,11044,,cold
Joel,Efosa,hey@propagate.at,1242464188,,,,planned
Karim,Mokhtar,info@thecrown.ltd,1242464189,Canada,V1K,,cold
Jasmine,Wang,info@start24.nl,1242464190,Canada,H4R,22-Nov-73,planned
Shegun,Otulana,support@operwell.com,1242464191,Canada,E5A,23-Jul-87,planned
Anna,Wang,contact@webbick.com,1242464192,United States,20530,,planned
Joe,Thurman,jim@vclient.com,1242464193,United States,78205,,new
Carolyn,Lyons,info@misscrm.in,1242464194,Canada,J0J,,cold
Jacob,Mueller,info@junina.de,1242464195,United States,32230,9-May-82,planned
Ubaldo,Ciminieri,info@junina.de,1242464196,United States,61105,,new
Winston,Tri,mattconsultingservice@gmail.com,1242464197,United States,23514,,meeting
Topher,Haddad,contact@callspree.com,1242464198,,,4-Nov-73,cold
AJ,Lasater,contact@callspree.com,1242464199,United States,27690,4-May-74,
